REGRA,A,B,TAM,PT_V
1,P',P,1,0
2,P,inicio V A,3,0
3,V,varinicio LV,2,0
4,LV,D LV,2,0
5,LV,varfim pt_v,2,1
6,D,TIPO L pt_v,3,1
7,L,id vir L,3,0
8,L,id,1,0
9,TIPO,inteiro,1,0
10,TIPO,real,1,0
11,TIPO,literal,1,0
12,A,ES A,2,0
13,ES,leia id pt_v,3,1
14,ES,escreva ARG pt_v,3,1
15,ARG,lit,1,0
16,ARG,num,1,0
17,ARG,id,1,0
18,A,CMD A,2,0
19,CMD,id rcb LD pt_v,4,1
20,LD,OPRD opm OPRD,3,0
21,LD,OPRD,1,0
22,OPRD,id,1,0
23,OPRD,num,1,0
24,A,COND A,2,0
25,COND,CAB CP,2,0
26,CAB,se ab_p EXP_R fc_p entao,5,0
27,EXP_R,OPRD opr OPRD,3,0
28,CP,ES CP,2,0
29,CP,CMD CP,2,0
30,CP,COND CP,2,0
31,CP,fimse,1,0
32,A,R A,2,0
33,R,CABR CPR,2,0
34,CABR,repita ab_p EXP_R fc_p,4,0
35,CPR,ES CPR,2,0
36,CPR,CMD CPR,2,0
37,CPR,COND CPR,2,0
38,CPR,fimrepita,1,0
39,A,fim,1,0
